630 47TH ST S	BIRMINGHAM	35222	7TH AVE S / 7TH CT S	BIRMINGHAM FD	1008	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 52ND ST S	BIRMINGHAM	35212	PUBLIC ALY / 7TH AVE S	BIRMINGHAM FD	1009	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 55TH PL	FAIRFIELD	35064	AVENUE C & PUBLIC ALY / COURT B	FAIRFIELD FD	FAIRFIELD_FD	VERIFY - NO BEAT MATCH	1. BIRMINGHAM FD | 2. MIDFIELD FD
630 5TH ST	BIRMINGHAM	35214	COURT F / AVENUE G	BIRMINGHAM FD	1802	415	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 63RD ST S	BIRMINGHAM	35212	UNNAMED ST / RAILROAD AVE	BIRMINGHAM FD	1209	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 72ND ST S	BIRMINGHAM	35206	6TH AVE S / PUBLIC ALY	BIRMINGHAM FD	1902	447	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 77TH ST S	BIRMINGHAM	35206	PUBLIC ALY / NAPLES AVE	BIRMINGHAM FD	1909	447	1. IRONDALE FD
630 7TH AVE N	BESSEMER	35020	7TH ST N & PUBLIC ALY / 6TH ST N	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. HUEYTOWN FD | 3. BIRMINGHAM FD | 4. BRIGHTON FD | 5. LIPSCOMB FD | 6. MCADORY FD | 7. MCCALLA FD | 8. HOOVER FD | 9. INDIAN FORD FD
630 7TH ST S	BESSEMER	35020	AVENUE G / HYDE AVE	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. BIRMINGHAM FD | 3. HUEYTOWN FD | 4. LIPSCOMB FD | 5. BRIGHTON FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 80TH ST N	BIRMINGHAM	35206	7TH AVE N / 6TH AVE N	BIRMINGHAM FD	1905	441	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 8TH AVE N	BESSEMER	35020	7TH ST N / PUBLIC ALY	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. HUEYTOWN FD | 3. BIRMINGHAM FD | 4. BRIGHTON FD | 5. LIPSCOMB FD | 6. MCADORY FD | 7. MCCALLA FD | 8. HOOVER FD | 9. INDIAN FORD FD
