	HOOVER	352443079	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443080	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443081	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443082	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443083	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443084	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352443085	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352443086	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352443087	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352443088	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352443089	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352443090	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352443091	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447000	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447007	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447008	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447009	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447010	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447011	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447012	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447013	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447014	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447015	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447016	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447017	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447018	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447019	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447020	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447021	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447026	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447027	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447028	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447029	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447030	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447031	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352447037	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447038	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447039	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447040	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447041	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447042	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447043	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447044	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447045	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447046	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447047	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447048	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447049	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352447050	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
