3001 KASSIDY LN	UNINCORPORATED	35180	CORNER FD/BAGLEY (AUTOMATIC AID)	CORNER/BAGLEY AA	420	MT. OLIVE FD | CANE CREEK FD | WARRIOR FD | KIMBERLY FD
3001 KATHY LN	FULTONDALE	35068	FULT ST	FULT_ST2	417	FULTONDALE FD | GARDENDALE FD | BIRMINGHAM FD | CENTER POINT FD
3001 KING ST	UNINCORPORATED	35023			489	HUEYTOWN FD | BESSEMER FD | CONCORD FD | BRIGHTON FD
3001 LAKE PARK CIR	UNINCORPORATED	35242		E101_R112	467	BIRMINGHAM FD | ROCKY RIDGE FD | VESTAVIA HILLS FD | HOOVER FD
3001 LARKSPUR LN	HELENA	35022	HELENA FD (SHELBY COUNTY)	HELENA_FD	488	MCADORY FD | BESSEMER FD | INDIAN FORD FD | HOOVER FD
3001 LAWN AVE SW	BIRMINGHAM	35211	BIRMINGHAM FD	2501	469	MIDFIELD FD | FAIRFIELD FD | HOMEWOOD FD | LIPSCOMB FD
3001 LEE ANN DR	HUEYTOWN	35023	HUEYTOWN FD	HUEYTOWN_FD	489	CONCORD FD | BESSEMER FD | ADGER FD | PLEASANT GROVE FD
3001 LIBERTY PKWY	VESTAVIA HILLS	35242	VESTAVIA FD	VESTAVIA_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | VESTAVIA HILLS FD | BIRMINGHAM FD | MOUNTAIN BROOK FD
3001 LONG LEAF LAKE CT	HELENA	35022	HELENA FD (SHELBY COUNTY)	HELENA_FD	VERIFY - NO BEAT MATCH	MCADORY FD | INDIAN FORD FD | BESSEMER FD | HOOVER FD
3001 LOVE MOUNTAIN RD	UNINCORPORATED	35126	PALMERDALE FD (STATION 2)	PFD_2	435	GLENNWOOD FD | CENTER POINT FD | GARDENDALE FD | FULTONDALE FD
3001 LULLWATER RD	SHELBY COUNTY	35242	HOOVER FD	SHELBY COUNTY	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | VESTAVIA HILLS FD | BIRMINGHAM FD | NORTH SHELBY FD
3001 MANOR BROOK DR	VESTAVIA HILLS	35243	VESTAVIA FD	VESTAVIA_FD	466	BIRMINGHAM FD | VESTAVIA HILLS FD | MOUNTAIN BROOK FD | ROCKY RIDGE FD
3001 MARY TAYLOR RD	UNINCORPORATED	35210	NO FIRE COVERAGE	COUNTY NO FD	447	BIRMINGHAM FD | IRONDALE FD | TRUSSVILLE FD | CENTER POINT FD
3001 MASSEY RD	VESTAVIA HILLS		VESTAVIA FD	VESTAVIA_FD	VERIFY - NO BEAT MATCH	VESTAVIA HILLS FD | ROCKY RIDGE FD | HOOVER FD | HOMEWOOD FD
3001 MOBILE DR	TRUSSVILLE	35173	TRUSSVILLE FD (STATION 2)	TRUSS_201	447	IRONDALE FD | BIRMINGHAM FD | LEEDS FD | CENTER POINT FD
3001 MOUNT OLIVE RD	UNINCORPORATED	35117	MOUNT OLIVE FD	MOFD_1	421	MT. OLIVE FD | BROOKSIDE FD | GARDENDALE FD | FORESTDALE FD
3001 MOUNTAINVIEW WAY	BESSEMER	35020	BESSEMER FD	BESSEMER_FD	487	EASTERN VALLEY FD | BIRMINGHAM FD | LIPSCOMB FD | HOOVER FD
3001 NAIL RD	UNINCORPORATED	35180	CORNER FD/BAGLEY (AUTOMATIC AID)	CORNER/BAGLEY AA	423	MT. OLIVE FD | GRAYSVILLE FD | KIMBERLY FD | CANE CREEK FD
3001 NEW CASTLE RD	FULTONDALE	35217	FULT ST	FULT_ST1	435	CENTER POINT FD | FULTONDALE FD | TARRANT FD | GARDENDALE FD
3001 NORTH WOODRIDGE RD	MOUNTIAN BROOK	35223	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	VESTAVIA HILLS FD | ROCKY RIDGE FD | HOMEWOOD FD | BIRMINGHAM FD
3001 NORWOOD BLVD	BIRMINGHAM	35234	BIRMINGHAM FD	0905	435	TARRANT FD | NORTH SMITHFIELD FD | FULTONDALE FD | MOUNTAIN BROOK FD
3001 OAKVIEW CIR	TRUSSVILLE	35173	TRUSSVILLE FD (STATION 2)	TRUSS_201	447	BIRMINGHAM FD | IRONDALE FD | LEEDS FD | CENTER POINT FD
3001 OAKWOOD DR	ADAMSVILLE	35060	ADAMSVILLE FD	ADAMSVILLE_FD	415	MINOR FD | FORESTDALE FD | BIRMINGHAM FD | MULGA FD
3001 OLD IVY RD	IRONDALE	35210	IRONDALE FD	IRONDALE_FD	465	VESTAVIA HILLS FD | REX LAKE FD | BIRMINGHAM FD | MOUNTAIN BROOK FD
3001 OVERLOOK LN	FULTONDALE	35068	FULT ST	FULT_ST2	417	FULTONDALE FD | BIRMINGHAM FD | NORTH SMITHFIELD FD | TARRANT FD
3001 PACK DR SE	UNINCORPORATED	35022	NO FIRE COVERAGE	COUNTY NO FD	487	BESSEMER FD | MCADORY FD | EASTERN VALLEY FD | INDIAN FORD FD
3001 PANARIDGE CIR	VESTAVIA HILLS	35216	VESTAVIA FD	VESTAVIA_FD	467	VESTAVIA HILLS FD | ROCKY RIDGE FD | HOOVER FD | HOMEWOOD FD
3001 PANORAMA EAST	BIRMINGHAM	35215	BIRMINGHAM FD	2803	446	CENTER POINT FD | PALMERDALE FD | GLENNWOOD FD | TRUSSVILLE FD
3001 PANORAMA EAST A	BIRMINGHAM	35215	BIRMINGHAM FD	2803	446	CENTER POINT FD | PALMERDALE FD | GLENNWOOD FD | TRUSSVILLE FD
3001 PANORAMA EAST B	BIRMINGHAM	35215	BIRMINGHAM FD	2803	446	CENTER POINT FD | PALMERDALE FD | GLENNWOOD FD | TRUSSVILLE FD
3001 PANORAMA EAST C	BIRMINGHAM	35215	BIRMINGHAM FD	2803	446	CENTER POINT FD | PALMERDALE FD | GLENNWOOD FD | TRUSSVILLE FD
3001 PANORAMA EAST D	BIRMINGHAM	35215	BIRMINGHAM FD	2803	446	CENTER POINT FD | PALMERDALE FD | GLENNWOOD FD | TRUSSVILLE FD
3001 PANORAMA EAST E	BIRMINGHAM	35215	BIRMINGHAM FD	2803	446	CENTER POINT FD | PALMERDALE FD | GLENNWOOD FD | TRUSSVILLE FD
3001 PANORAMA EAST F	BIRMINGHAM	35215	BIRMINGHAM FD	2803	446	CENTER POINT FD | PALMERDALE FD | GLENNWOOD FD | TRUSSVILLE FD
